P@CORP	0.2554827630519867
R@CORP	0.08262331038713455
F1@CORP	0.12486514449119568
P@PROD	0.24309788644313812
R@PROD	0.030281376093626022
F1@PROD	0.05385440215468407
P@GRP	0.29985302686691284
R@GRP	0.0829455628991127
F1@GRP	0.12994550168514252
P@PER	0.18608511984348297
R@PER	0.4730779826641083
F1@PER	0.2671046853065491
P@LOC	0.3512876331806183
R@LOC	0.12280868738889694
F1@LOC	0.1819932758808136
P@CW	0.12036710232496262
R@CW	0.04696753993630409
F1@CW	0.06756935268640518
micro@P	0.21217095851898193
micro@R	0.14627885818481445
micro@F1	0.1731685847043991
MD@R	0.25117483735084534
MD@P	0.3643178939819336
MD@F1	0.2973470985889435
ALLTRUE	144915.0
ALLRECALLED	36399.0
ALLPRED	99910.0
loss	17.648226567245953
